Tahun,Kecamatan,Bulan,Jenis_Kejahatan,Lokasi_Kejadian,Waktu_Kejadian,Jumlah_kasus
2024,Teluk betung utara,Januari,Pencurian motor,pertokoan/mal/pusat perbelanjaan,15.00-17.59,1
2024,Kedaton,Januari,Pencurian motor,tempat parkir,15.00-17.59,1
2024,Sukarame,Januari,Pencurian motor,rumah,12.00-14.59,2
2024,Sukarame,Januari,Pencurian motor,rumah,04.00-04.59,1
2024,Sukarame,Januari,Pencurian motor,pertokoan/mal/pusat perbelanjaan,04.00-04.59,1
2024,Kedaton,Januari,Pencurian motor,rumah,05.00-07.59,1
2024,Sukarame,Januari,Pencurian motor,rumah,05.00-07.59,1
2024,Sukarame,Januari,Pencurian motor,rumah,22.00-23.59,1
2024,Sukarame,Februari,Pencurian motor,perkantoran,08.00-11.59,1
2024,Sukarame,Februari,Pencurian motor,rumah,18.00-21.59,1
2024,Tanjung karang barat,Februari,Pencurian motor,rumah,18.00-21.59,1
2024,Teluk betung utara,Februari,Pencurian motor,rumah,18.00-21.59,1
2024,Sukarame,Februari,Pencurian motor,rumah,12.00-14.59,2
2024,Tanjung karang barat,Februari,Pencurian motor,rumah,04.00-04.59,2
2024,Panjang,Februari,Pencurian motor,rumah,04.00-04.59,1
2024,Sukarame,Februari,Pencurian motor,rumah,04.00-04.59,1
2024,Tanjung karang pusat,Februari,Pencurian motor,tempat parkir,04.00-04.59,1
2024,Kedaton,Februari,Pencurian motor,rumah,05.00-07.59,1
2024,Kemiling,Februari,Pencurian motor,tempat parkir,05.00-07.59,1
2024,Kedaton,Februari,Pencurian motor,tempat parkir,05.00-07.59,1
2024,Teluk betung selatan,Februari,Pencurian motor,pertokoan/mal/pusat perbelanjaan,05.00-07.59,1
2024,Tanjung karang pusat,Februari,Pencurian motor,tempat parkir,22.00-23.59,1
2024,Tanjung karang barat,Maret,Pencurian motor,pertokoan/mal/pusat perbelanjaan,08.00-11.59,1
2024,Tanjung karang barat,Maret,Pencurian motor,pertokoan/mal/pusat perbelanjaan,15.00-17.59,1
2024,Sukarame,Maret,Pencurian motor,rumah,05.00-07.59,1
2024,Teluk betung timur,Maret,Pencurian motor,rumah,22.00-23.59,1
2025,Sukarame,Januari,Pencurian motor,rumah,08.00-11.59,3
2025,Tanjung karang timur,Januari,Pencurian motor,rumah,08.00-11.60,1
2025,Teluk betung utara,Januari,Pencurian motor,rumah,08.00-11.62,2
2025,Teluk betung selatan,Januari,Pencurian motor,perkantoran,08.00-11.62,1
2025,Tanjung karang barat,Januari,Pencurian motor,pertokoan/mal/pusat perbelanjaan,08.00-11.62,1
2025,Teluk betung utara,Januari,Pencurian motor,pertokoan/mal/pusat perbelanjaan,08.00-11.62,1
2025,Kemiling,Januari,Pencurian motor,pertokoan/mal/pusat perbelanjaan,08.00-11.62,2
2025,Teluk betung timur,Januari,Pencurian motor,rumah,18.00-21.59,4
2025,Teluk betung selatan,Januari,Pencurian motor,rumah,18.00-21.59,1
2025,Tanjung karang barat,Januari,Pencurian motor,tempat parkir,18.00-21.59,1
2025,Teluk betung timur,Januari,Pencurian motor,tempat parkir,18.00-21.59,1
